,ratio,vsense,Current [mA],Voltage [mV],Power [mW]
184,220.4957,-0.004948322,-0.0004804196116504854,-1.0910837232154,0.0005241780185853082
185,208.539,-0.005245388,-0.0005092609708737864,-1.093867968132,0.0005570642634586384
186,209.2575,-0.005286807,-0.0005132822330097087,-1.1063040158025,0.0005678461956187152
187,211.3292,-0.005324282,-0.0005169205825242718,-1.1251762556343998,0.0005816267655050129
188,184.7871,-0.006036148,-0.0005860337864077669,-1.1154022840908,0.0006536634239136033
189,227.6816,-0.00487231,-0.0004730398058252427,-1.1093353364960001,0.0005247597721711482
190,144.4493,-0.007484156,-0.0007266170873786407,-1.0810810952907999,0.0007855319966803118
191,160.2818,-0.006738456,-0.0006542190291262135,-1.0800518569008,0.0007065904772276054
192,226.2544,-0.004773844,-0.00046348,-1.0801032099136,0.0005006062357307553
193,186.6688,-0.005795673,-0.0005626866990291262,-1.0818713241024,0.0006087546041334494
194,198.7028,-0.005460981,-0.0005301923300970873,-1.0851122154468,0.0005753181739245515
195,174.1579,-0.006246431,-0.0006064496116504854,-1.0878653054549001,0.0006597354920211608
196,212.4472,-0.005112027,-0.0004963133009708737,-1.0860358224744,0.0005390140240248873
197,210.0734,-0.005201844,-0.0005050333980582524,-1.0927690553496,0.000551884869316115
198,215.3086,-0.005058318,-0.0004910988349514563,-1.0890993669348001,0.000534855430248049
199,208.4064,-0.005233402,-0.000508097281553398,-1.0906744705728,0.0005541687335577312
200,238.7071,-0.004542018,-0.0004409726213592233,-1.0842119449278,0.0004781077834637938
201,248.6958,-0.004363899,-0.0004236795145631068,-1.0852833529242,0.000459812324130346
202,182.454,-0.005964385,-0.0005790665048543689,-1.0882259007900001,0.0006301551688624625
203,219.2519,-0.004961521,-0.00048170106796116503,-1.0878229061399,0.0005240054556402081
204,221.5129,-0.004936943,-0.000479314854368932,-1.0935965610647,0.0005241770764050916
205,221.3996,-0.004937549,-0.0004793736893203883,-1.0931713735804,0.0005240375944126728
206,202.3631,-0.005376018,-0.000521943495145631,-1.0879076681358,0.0005678263307025326
207,252.0368,-0.004317928,-0.0004192163106796117,-1.0882767557504,0.0004562233665440596
208,230.5653,-0.00472226,-0.0004584718446601941,-1.088789293578,0.0004991792358729752
209,235.6232,-0.004627738,-0.00044929495145631064,-1.0904024363216,0.0004899123096949561
210,246.5782,-0.004408808,-0.00042803961165048543,-1.0871159407856001,0.0004653286851129204
211,230.9715,-0.00472408,-0.0004586485436893204,-1.09112784372,0.0005004441965010464
212,252.5788,-0.004323086,-0.0004197170873786408,-1.0919198741768001,0.00045829742924033846
213,201.1571,-0.00544505,-0.0005286456310679611,-1.095310467355,0.0005790310932302274
214,161.6536,-0.00679975,-0.0006601699029126214,-1.0992040666,0.0007256614419284806
215,334.7816,-0.00325999,-0.00031650388349514563,-1.091384668184,0.0003454274858672969
216,208.697,-0.005221264,-0.0005069188349514563,-1.0896621330079999,0.0005523702589551341
217,186.7494,-0.005822072,-0.0005652497087378641,-1.0872684527568002,0.0006145781762406494
218,212.4519,-0.005094578,-0.0004946192233009708,-1.0823527757981999,0.0005353524893029554
219,132.8216,-0.008175692,-0.0007937565048543689,-1.0859084925472,0.000861946929635942
220,190.9817,-0.005674449,-0.0005509173786407767,-1.0837159165833,0.0005970379319553582
221,218.3357,-0.004961672,-0.0004817157281553398,-1.0833101292904002,0.0005218475277491804
222,160.1836,-0.00676182,-0.0006564873786407767,-1.083132670152,0.0007110629273482716
223,193.1725,-0.005584328,-0.0005421677669902912,-1.0787386005800002,0.0005848572982426904
224,206.151,-0.005230215,-0.0005077878640776699,-1.0782140524650001,0.0005475040107197311
225,190.5436,-0.005665498,-0.000550048349514563,-1.0795243847128,0.0005937906060719998
226,232.5197,-0.004656262,-0.0004520642718446602,-1.0826726433614,0.0004894376201673048
227,207.9747,-0.005232946,-0.0005080530097087378,-1.0883203744662,0.0005529244417748935
228,203.1397,-0.0053877,-0.0005230776699029126,-1.09445576169,0.0005724853696366226
229,193.914,-0.005630299,-0.0005466309708737864,-1.091793800286,0.000596808305044317
230,309.6789,-0.003568739,-0.00034647951456310676,-1.1051631679071,0.0003829163979294772
231,218.6949,-0.005035104,-0.0004888450485436893,-1.1011515657696,0.0005382924906225996
232,325.9759,-0.0033844,-0.00032858252427184464,-1.10323283596,0.00036250303009932274
233,174.1816,-0.006355972,-0.0006170846601941747,-1.1070933725152,0.0006831703375817649
234,206.2072,-0.005373135,-0.0005216635922330097,-1.107979123572,0.0005779923697217513
235,96.83367,-0.01140868,-0.001107638834951456,-1.1047443542556,0.0012236577494668713
236,133.9811,-0.00828675,-0.0008045388349514563,-1.1102678804250001,0.0008932536270011524
237,85.01428,-0.01319183,-0.0012807601941747571,-1.1214939293324,0.001436364782697576
238,231.3311,-0.004792809,-0.00046532126213592233,-1.1087257780599,0.0005159136784094652
239,-592.4837,0.001853857,0.00017998611650485436,-1.0983800546309,-0.00019769316047940546
240,60.45944,-0.01825607,-0.0017724339805825242,-1.1037517688008,0.001956327141150604
241,3113.318,-0.0003480438,-3.379066019417475e-05,-1.0835710273284,3.661458038070681e-05
242,193.5969,-0.005673994,-0.0005508732038834951,-1.0984676490186,0.0006051163931772468
243,185.4165,-0.005920538,-0.0005748095145631068,-1.0977654340770002,0.0006310060162659587
244,-620.8612,0.001739157,0.00016885019417475728,-1.0797751020084,-0.00018232023563918671
